OccupationCode,OccupationText,,,
5243,Door to door salespersons,,,
5244,Contact centre salespersons,,,
5245,Service station attendants,,,
5246,Food service counter attendants,,,
5249,Sales workers not elsewhere classified,,,
5311,Child care workers,,,
5312,"Teachers' aides",,,
5321,Health care assistants,,,
5322,Home-based personal care workers,,,
5329,Personal care workers in health services not elsewhere classified,,,
5411,Fire-fighters,,,
5412,Police officers,,,
5413,Prison guards,,,
5414,Security guards,,,
5419,Protective services workers not elsewhere classified,,,
61,Market-Oriented Skilled Agricultural and Fishery W,,,
6110,Market gardners and crop growers,,,
6111,Farmers (crop and vegetable),,,
6112,Tree and shrub crop growers,,,
6113,"Gardeners, horticultural & nursery growers",,,
6114,Mixed-crop growers,,,
6120,Market-oriented animal producers,,,
6121,Dairy and livestock producers,,,
6122,Poultry producers,,,
6123,Apiarists & sericulturists,,,
6124,Mixed-animal producers,,,
6129,Market-oriented animal producers not classified,,,
6130,Market-oriented crop & animal producers,,,
6141,Forestry workers and loggers,,,
6142,Charcoal burners & related,,,
6150,"Fishery workers, hunters, trappers",,,
6151,Aquatic-life cultivation workers,,,
6152,Fishermen,,,
6153,Fishery workers (deep-sea),,,
6154,Hunters and trappers,,,
62,Subsistence Agricultural and Fishery Workers,,,
6210,Subsistence farmers and fishermen,,,
6221,Aquaculture workers,,,
6222,Inland and coastal waters fishery workers,,,
6223,Deep-sea fishery workers,,,
6224,Hunters and trappers,,,
6310,Subsistence crop farmers,,,
6320,Subsistence livestock farmers,,,
6330,Subsistence mixed crop and livestock farmers,,,
6340,"Subsistence fishers, hunters, trappers and gatherers",,,
71,Extraction and Bulding Trades Workers,,,
7110,"Minsers, shotfires, stone cutters and carvers",,,
7111,Miners and quarry workers,,,
7112,Shotfirers & blasters,,,
7113,"Stone splitters, cutters & carvers",,,
7114,"Concrete placers, concrete finishers and related workers",,,
7115,Carpenters and joiners,,,
7119,Building frame and related trades workers not elsewhere classified,,,
7120,Building frame and related workers,,,
7121,Builders (traditional materials),,,
7122,Bricklayers and stonemasons,,,
7123,"Concrete placers, finishers & related",,,
7124,Carpenters and joiners,,,
7125,Glaziers
7126,Plumbers and pipe fitters
7127,Air conditioning and refrigeration mechanics
7129,Building frame workers not classified,,,
7130,Building finishers and related trades,,,
7131,Roofers,,,
7132,Floor layers & tile setters,,,
7133,Plasterers,,,
7134,Insulation workers,,,
7135,Glaziers,,,
7136,Plumbers and pipe fitters,,,
7137,Building & related electRicans,,,
7140,"Painters, building structure cleaners",,,
7141,Painters & related workers,,,
7142,Varnishers & related painters,,,
7143,Building structure cleaners,,,
72,"Precision, Handicraft, Printing and Related Trades",,,
7210,"Metal moulders, welders, sheet metal workers",,,
7211,Metal moulders & coremakers,,,
7212,Welders and flamecutters,,,
7213,Sheet-metal workers,,,
7214,Structural-metal preparers & erectors,,,
7215,Riggers & cable splicers,,,
7216,Underwater workers,,,
7220,"Blacksmiths, tool-makers and related trades",,,
7221,Blacksmiths and forge workers,,,
7222,Tool-makers & related workers,,,
7223,Machine-tool setters & setter-operators,,,
7224,"Metal wheel-grinders, polishers & tool sharpeners",,,
7230,Machinery mechanics and fitters,,,
7231,Motor vehicle mechanics and fitters,,,
7232,Aircraft engine mechanics and fitters,,,
7233,Agricult. or indust.-machinery mechanics and fitte,,,
7234,Bicycle and related repairers,,,
7240,Electrical and electronics mechanics and fitters,,,
7241,Electrical mechanics and fitters,,,
7242,Electronics fitters,,,
7243,Electronics mechanics and servicers,,,
7244,Telephone technicians,,,
7245,"Electrical line installers, repairers & cable join",,,
7310,Precision workers in metal and related materials,,,
7311,Precision-instrument makers & repairers,,,
7312,Musical-instrument makers & tuners,,,
7313,Jewellery makers,,,
7314,Potters and related workers,,,
7315,"Glass makers, cutters, grinders and finishers",,,
7316,"Sign writers, decorative painters, engravers and etchers",,,
7317,"Handicraft workers in wood, basketry and related materials",,,
7318,"Handicraft workers in textile, leather and related materials",,,
7319,Handicraft workers not elsewhere classified,,,
