EthnicityCode,EthnicityText
-,-
NON,None
U,Unknown
686,Gagauz
687,Issa
688,Yibir
689,Tumal
69,Oromo
690,Barawani
691,Gadabursi
692,Habar Jaalo
693,Lobala
694,Boba
7,Gypsy/Roma
70,Nigeria
700,Chechen
701,Ingush
702,Pathan
703,"Avar, Daghestani"
704,"Bube, Bubi"
705,"Kyrgyz, Kirghiz"
706,"Guere, Géré"
707,"Tura, Toura"
71,Nuer
72,Bari
73,Uduk
74,Dinka
75,Kuldani
76,Dagbare
77,Hutu
78,Hasraf
79,Hazara
8,Hungarian
80,Suisse
800,Quechua
801,Mayan
802,Karakalpak
803,Kikuyu
804,Luhya
805,Bukusu
806,Maragoli
807,Tachoni
808,Luhya-Saamia
809,Luhya-Nyore
81,Afar
810,Idakho-Isukha-Tiriki
811,"Suba, Luo Suba"
812,Kalenjin
813,Kipsigis
814,Tugen
815,Pokot
816,Sabaot
817,"Talai, Marakwet"
818,Meru
819,Embu
82,Akan
820,"Giriama, Mijikenda"
821,Turkana
822,Songhai
823,Soninke
824,Watalinga
825,Wahumu
826,Wanande
827,Syriac
828,Kamein/Kaman
829,Aimaq
83,Arab
830,Qizilbash
831,Nuristani
832,Dom
833,Berta
834,Ingassana
835,Hamaj
836,Dowala
837,Watawiet
838,JumJum
839,Kuma
84,Bakhtiari
840,Glavda
841,"Cineni, Chinene"
842,"Mafa, Matakam"
843,"Mandara, Wandala"
844,"Runga, Rounga"
845,"Buduma, Boudouma, Yedina"
846,Barundi
847,Chewa
848,"Ngoni, Nguni"
849,Nyungwe
85,Berber
850,"Senga, Nsenga"
851,Ajauas
852,Makonde
853,Nianja
854,Macua
855,Machuabo
856,Chiwas
857,Shangana
858,Rhonga
859,Matsua
86,Bantu
860,Bitonga
861,Chopes
87,Bengali
88,Bihari
89,Sidama
9,Jew
90,Sindhi
900,"Adema, Atete"
901,Azungu
903,"Chinyanja, Nhanja"
904,Chipeta
905,Lolo
906,"Lomwe, Lomué"
907,"Mang'anja, Manganjas"
909,Ngozo
91,Javanese
911,Sena
914,"Tawala, Tawara"
915,"Yao, Iao"
916,Warao
917,E'ñepa
918,Pemon
919,Mafwe
92,Malay
920,Subia
921,Banyaruguru
922,"Wayúu, Goajiro, Guajira, Uáira‡ira, Wahiro, Waiu"
